file,selector,type,key_hint,text;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_17,innerText,,¿Tienen opciones sin carne?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_18,innerText,,¿Tienen opciones sin lácteos?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-menu > button#faq_19,innerText,,¿Qué tartas suelen tener?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box,innerText,,Categoria: Servizi;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_20,innerText,,¿Puedo llevar a mi mascota?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_21,innerText,,¿tienen agua para mi mascota?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_22,innerText,,¿Tienen acceso para sillas de ruedas?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_23,innerText,,¿Tienen servicio de entrega a domicilio?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_24,innerText,,¿Tienen servicio de catering?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button#faq_25,innerText,,¿Tienen servicio de comida para llevar?;;;;;
.\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2) > div#faq-carousel-box > div#faq-servizi > button.faq-btn:nth-of-type(7),innerText,,¿Tienen servicio de aparcacoches?;;;;;
".\home\index.html,html > body > section.faq-carousel-section:nth-of-type(1) > div.faq-carousel-wrapper:nth-of-type(2),innerText,,""Freccia destra <div class=""""faq-arrow-right"""" onclick=""""scrollFAQ(1)""""> <svg width=""""18"""" height=""""18"""" viewBox=""""0 0 24 24"""" fill=""""none""""> <path d=""""M9 6l6 6-6 6"""" stroke=""""#fff"""" stroke-width=""""2"""" stroke-linecap=""""round"""" stroke-linejoin=""""round""""/> </svg> </div>""";;;;;
.\home\index.html,html > body,innerText,,Popup benvenuto;;;;;
.\home\index.html,html > body > div#welcomePopup > div.popup-box > h2#popup_welcome,innerText,,¡Bienvenido a Menuria!;;;;;
.\home\index.html,html > body > div#welcomePopup > div.popup-box > p#popup_text_1,innerText,,Somos un pequeño equipo que ama el sector hostelero y quiere mejorarla con un toque de tecnología.;;;;;
.\home\index.html,html > body > div#welcomePopup > div.popup-box > p#popup_text_2,innerText,,Este chat está aquí para ayudarte a encontrar lo que necesitas sin reemplazar al camarero.;;;;;
".\home\index.html,html > body > div#welcomePopup > div.popup-box > p#popup_text_3,innerText,,""Si te apetece, deja un comentario después de usarlo. ¡Buen provecho!""";;;;;
.\home\index.html,html > body > div#welcomePopup > div.popup-box > button#popup_button,innerText,,Cerrar;;;;;
.\home\index.html,html > body,innerText,,Chatbot Interface;;;;;
.\home\index.html,html > body > section.chatbot-container:nth-of-type(2) > div#chatWindow > div.chat-header:nth-of-type(1) > h2#chat_titolo,innerText,,Chatbot;;;;;
.\home\index.html,html > body > section.chatbot-container:nth-of-type(2) > div#chatWindow > div.chat-header:nth-of-type(1) > button,innerText,,🤖;;;;;
.\home\index.html,html > body > section.chatbot-container:nth-of-type(2) > div#chatWindow > div.chat-body:nth-of-type(2) > p#welcomeMessage,innerText,,¡Hola! Soy el chatbot de La Casita del Nazareno. ¿En qué puedo ayudarte hoy?;;;;;
.\home\index.html,html > body > section.chatbot-container:nth-of-type(2) > div#chatWindow > div.chat-input:nth-of-type(3) > button#boton_enviar,innerText,,Enviar;;;;;
.\home\index.html,html > body,innerText,,Customer Satisfaction Feedback;;;;;
.\home\index.html,html > body > div.satisfaction-box:nth-of-type(3) > p#rating_pregunta,innerText,,¿Cómo calificarías nuestro asistente?;;;;;
.\home\index.html,html > body > div.satisfaction-box:nth-of-type(3) > div.rating-options > span.emoji.emoji-happy:nth-of-type(1),innerText,,😊;;;;;
.\home\index.html,html > body > div.satisfaction-box:nth-of-type(3) > div.rating-options > span.emoji.emoji-neutral:nth-of-type(2),innerText,,😐;;;;;
.\home\index.html,html > body > div.satisfaction-box:nth-of-type(3) > div.rating-options > span.emoji.emoji-sad:nth-of-type(3),innerText,,😞;;;;;
".\home\index.html,html > body,innerText,,""Footer Ristorante <footer class=""""restaurant-footer""""> <h3 id=""""rFoot1"""" data-i18n=""""footer_restaurant_contact"""">Contactanos - Restaurante La Casita del Nazareno</h3> <div class=""""social-links""""> <a href=""""https://facebook.com"""">👍</a> <a href=""""https://instagram.com"""">📸</a> <a href=""""https://twitter.com"""">🐦</a> </div> </footer> Footer Menuria <footer class=""""menuria-footer""""> <h3 id=""""rFoot2"""" data-i18n=""""footer_menuria_contact"""">Contactanos - Menuria</h3> <div class=""""social-links""""> <a href=""""https://facebook.com"""">👍</a> <a href=""""https://instagram.com"""">📸</a> <a href=""""https://twitter.com"""">🐦</a> </div> </footer> Scripts: i18n PRIMA di home.js""";;;;;
